tiempo,data
15:28:22,7.01
15:28:23,-16.99
15:28:24,7.01
15:28:25,4.01
15:28:26,7.01
15:28:27,1.01
15:28:28,1.01
15:28:29,31.01
15:28:30,7.01
15:28:31,-4.99
15:28:32,7.01
15:28:33,4.01
15:28:34,4.01
15:28:35,4.01
15:28:36,4.01
15:28:37,7.01
15:28:38,-1.99
15:28:39,7.01
15:28:40,7.01
15:28:41,7.01
15:28:42,7.01
15:28:43,7.01
15:28:44,7.01
15:28:45,4.01
15:28:46,7.01
15:28:47,7.01
15:28:48,16.01
15:28:49,13.01
15:28:50,4.01
15:28:51,7.01
15:28:52,1.01
15:28:53,10.01
15:28:54,7.01
