tiempo,data
16:29:35,7.12
16:29:36,7.01
16:29:37,6.79
16:29:38,7.01
16:29:39,7.12
16:29:40,7.12
16:29:41,7.01
16:29:42,6.79
16:29:43,6.79
16:29:44,6.79
16:29:45,7.01
16:29:46,7.01
16:29:47,7.12
16:29:48,7.12
16:29:49,7.12
16:29:50,6.90
16:29:51,6.90
16:29:52,6.79
16:29:53,6.79
16:29:54,7.01
16:29:55,7.12
16:29:56,7.12
16:29:57,6.90
16:29:58,6.79
16:29:59,6.79
16:30:00,6.90
16:30:01,7.01
16:30:02,7.12
16:30:03,7.01
16:30:04,6.90
16:30:05,6.79
16:30:06,6.90
16:30:07,7.01
16:30:08,7.12
16:30:09,6.90
16:30:10,6.79
16:30:11,6.90
16:30:12,7.12
16:30:13,7.12
16:30:14,6.90
16:30:15,6.79
16:30:16,6.90
16:30:17,7.01
16:30:18,7.12
16:30:19,6.90
16:30:20,6.79
16:30:21,6.90
16:30:22,7.01
16:30:23,7.12
16:30:24,6.79
16:30:25,6.90
16:30:26,7.12
16:30:27,7.12
16:30:28,6.90
16:30:29,6.79
16:30:30,7.01
16:30:31,7.12
16:30:32,7.12
16:30:33,6.90
16:30:34,6.79
16:30:35,6.90
16:30:36,7.12
16:30:37,7.01
16:30:38,7.12
16:30:39,6.79
16:30:40,6.79
16:30:41,6.90
16:30:42,7.12
16:30:43,7.12
16:30:44,6.90
16:30:45,6.79
16:30:46,6.90
16:30:47,7.12
16:30:48,7.01
16:30:49,6.79
16:30:50,6.90
16:30:51,7.01
16:30:52,6.90
16:30:53,6.79
16:30:54,7.01
16:30:55,7.12
16:30:56,6.90
16:30:57,6.79
16:30:58,7.01
16:30:59,7.12
16:31:00,7.01
16:31:01,6.90
16:31:02,6.79
16:31:03,7.01
16:31:04,7.12
16:31:05,7.12
16:31:06,7.01
16:31:07,6.68
16:31:08,6.79
16:31:09,7.01
16:31:10,7.01
16:31:11,7.01
16:31:12,7.01
16:31:13,6.79
16:31:14,6.79
16:31:15,6.90
16:31:16,7.12
16:31:17,7.01
16:31:18,7.12
16:31:19,7.01
16:31:20,6.79
16:31:21,6.79
16:31:22,6.79
16:31:23,7.01
16:31:24,7.12
16:31:25,7.01
16:31:26,7.12
16:31:27,7.01
16:31:28,6.79
16:31:29,6.79
16:31:30,6.79
16:31:31,7.01
16:31:32,7.12
16:31:33,7.12
16:31:34,7.01
16:31:35,6.68
16:31:36,6.79
16:31:37,6.90
16:31:38,7.01
16:31:39,7.12
16:31:40,7.12
16:31:41,6.90
16:31:42,6.79
16:31:43,6.79
16:31:44,7.12
16:31:45,7.01
16:31:46,7.01
16:31:47,6.79
16:31:48,6.79
16:31:49,6.90
16:31:50,7.12
16:31:51,7.01
16:31:52,6.90
16:31:53,6.79
16:31:54,6.79
16:31:55,6.90
16:31:56,7.12
16:31:57,6.79
16:31:58,6.79
16:31:59,6.68
16:32:00,7.01
16:32:01,7.01
16:32:02,7.01
16:32:03,6.79
16:32:04,6.79
16:32:05,6.90
16:32:06,7.12
16:32:07,7.12
16:32:08,6.79
16:32:09,6.79
16:32:10,6.90
16:32:11,7.12
16:32:12,7.12
16:32:13,6.79
16:32:14,6.79
16:32:15,7.01
16:32:16,7.01
16:32:17,6.90
16:32:18,6.79
16:32:19,6.90
16:32:20,7.01
16:32:21,7.01
16:32:22,6.79
16:32:23,6.90
16:32:24,7.01
16:32:25,7.12
16:32:26,6.90
16:32:27,6.68
16:32:28,6.79
16:32:29,7.01
16:32:30,7.01
16:32:31,7.12
16:32:32,6.90
16:32:33,6.68
16:32:34,6.79
16:32:35,6.90
16:32:36,7.01
16:32:37,7.12
16:32:38,7.01
16:32:39,6.79
16:32:40,6.79
16:32:41,6.79
16:32:42,7.01
16:32:43,7.12
16:32:44,7.01
16:32:45,6.79
16:32:46,6.79
16:32:47,6.79
16:32:48,7.01
16:32:49,7.01
16:32:50,6.90
16:32:51,6.57
16:32:52,6.79
16:32:53,6.90
16:32:54,7.12
16:32:55,7.01
16:32:56,6.90
16:32:57,6.79
16:32:58,6.79
16:32:59,6.90
16:33:00,7.01
16:33:01,7.01
16:33:02,7.12
16:33:03,6.90
16:33:04,6.90
16:33:05,6.79
16:33:06,6.79
16:33:07,6.90
16:33:08,7.01
16:33:09,7.01
16:33:10,6.68
16:33:11,6.68
16:33:12,7.01
16:33:13,7.12
16:33:14,6.90
16:33:15,6.79
16:33:16,7.01
16:33:17,7.12
16:33:18,6.79
16:33:19,6.79
16:33:20,7.01
16:33:21,7.01
16:33:22,6.79
16:33:23,6.68
16:33:24,7.01
16:33:25,7.01
16:33:26,6.90
16:33:27,6.79
16:33:28,6.90
16:33:29,7.01
16:33:30,7.01
16:33:31,6.79
16:33:32,6.79
16:33:33,6.90
16:33:34,7.01
16:33:35,7.12
16:33:36,6.79
16:33:37,6.79
16:33:38,6.79
16:33:39,7.01
16:33:40,7.01
16:33:41,7.12
16:33:42,6.90
16:33:43,6.79
16:33:44,6.79
16:33:45,7.01
16:33:46,7.12
