tiempo,data
16:48:18,6.90
16:48:19,6.80
16:48:20,6.90
16:48:21,7.01
16:48:22,7.12
16:48:23,7.12
16:48:24,7.12
16:48:25,7.12
16:48:26,7.12
16:48:27,7.01
16:48:28,6.80
16:48:29,6.90
16:48:30,6.80
16:48:31,6.90
16:48:32,6.90
16:48:33,7.12
16:48:34,3.58
16:48:35,-0.06
16:48:36,-0.81
16:48:37,-7.45
16:48:38,-9.38
16:48:39,-10.67
16:48:40,-10.56
16:48:41,-8.31
16:48:42,0.80
16:48:43,3.05
16:48:44,3.58
16:48:45,3.69
16:48:46,3.69
16:48:47,3.58
16:48:48,3.80
16:48:49,3.80
16:48:50,3.80
16:48:51,3.90
16:48:52,3.90
16:48:53,3.90
16:48:54,3.90
16:48:55,3.90
16:48:56,3.90
16:48:57,4.01
16:48:58,4.12
16:48:59,4.12
16:49:00,4.22
16:49:01,4.22
16:49:02,4.22
16:49:03,4.22
16:49:04,4.33
16:49:05,4.33
16:49:06,4.33
16:49:07,4.33
16:49:08,4.12
16:49:09,4.01
16:49:10,4.01
16:49:11,4.01
16:49:12,4.12
16:49:13,4.22
16:49:14,4.33
16:49:15,4.33
16:49:16,4.22
16:49:17,4.12
16:49:18,4.01
16:49:19,4.01
16:49:20,4.33
16:49:21,4.44
16:49:22,4.33
16:49:23,4.33
16:49:24,4.33
16:49:25,4.12
16:49:26,4.12
16:49:27,4.01
16:49:28,4.01
16:49:29,4.01
16:49:30,4.01
16:49:31,4.12
16:49:32,4.22
16:49:33,4.22
16:49:34,4.22
16:49:35,4.22
16:49:36,4.33
16:49:37,4.33
16:49:38,4.33
16:49:39,4.33
16:49:40,4.33
16:49:41,4.33
16:49:42,4.33
16:49:43,4.44
16:49:44,4.33
16:49:45,4.33
16:49:46,4.33
16:49:47,4.33
16:49:48,4.22
16:49:49,4.22
16:49:50,4.12
16:49:51,4.22
16:49:52,4.12
16:49:53,4.22
16:49:54,4.01
16:49:55,4.01
16:49:56,4.01
16:49:57,4.01
16:49:58,4.22
16:49:59,4.12
16:50:00,4.12
16:50:01,4.33
16:50:02,4.12
16:50:03,4.12
16:50:04,4.12
16:50:05,4.12
16:50:06,4.01
16:50:07,4.01
16:50:08,4.01
16:50:09,4.01
16:50:10,4.12
16:50:11,4.33
16:50:12,4.12
16:50:13,4.01
16:50:14,4.01
16:50:15,4.12
16:50:16,4.22
16:50:17,4.33
16:50:18,4.33
16:50:19,4.33
16:50:20,4.33
16:50:21,4.33
16:50:22,4.22
16:50:23,4.01
