tiempo,data
16:25:51,6.88
16:25:52,7.12
16:25:53,7.24
16:25:54,7.12
16:25:55,7.24
16:25:56,6.76
16:25:57,7.12
16:25:58,7.00
16:25:59,6.88
16:26:00,6.88
16:26:01,6.88
16:26:02,7.24
16:26:03,7.12
16:26:04,7.24
16:26:05,7.24
16:26:06,7.24
16:26:07,6.88
16:26:08,7.00
16:26:09,6.88
16:26:10,7.00
16:26:11,7.12
16:26:12,7.12
16:26:13,7.24
16:26:14,7.12
16:26:15,7.00
16:26:16,7.00
16:26:17,6.88
16:26:18,6.88
16:26:19,6.88
16:26:20,6.88
16:26:21,7.00
16:26:22,6.88
16:26:23,7.00
16:26:24,6.88
16:26:25,6.88
16:26:26,6.88
16:26:27,6.88
16:26:28,6.88
16:26:29,6.88
16:26:30,6.88
16:26:31,6.88
16:26:32,6.88
16:26:33,6.88
16:26:34,7.00
16:26:35,6.88
16:26:36,6.88
16:26:37,6.88
16:26:38,7.00
16:26:39,7.00
16:26:40,7.00
16:26:41,7.00
16:26:42,7.12
16:26:43,7.12
16:26:44,7.24
16:26:45,7.12
16:26:46,7.12
16:26:47,7.12
16:26:48,7.12
16:26:49,7.00
16:26:50,7.00
16:26:51,6.88
16:26:52,6.88
16:26:53,6.88
16:26:54,6.88
16:26:55,6.88
16:26:56,7.00
16:26:57,7.12
16:26:58,7.12
16:26:59,7.12
16:27:00,7.12
16:27:01,7.24
16:27:02,7.24
16:27:03,7.24
16:27:04,7.12
16:27:05,6.88
16:27:06,7.00
16:27:07,6.88
16:27:08,7.00
16:27:09,7.24
16:27:10,7.24
